sample,race,clonotype_count,mean_frequency,geomean_frequency,reads_count,mean_cdr3nt_length,convergence
SRR11241379,Asian,257556,3.882650763329078e-06,1.7685024221655591e-06,833264.0,43.747747412584026,1.0638106291846168
SRR11241386,Asian,395701,2.5271606591845497e-06,1.6644176706620529e-06,806649.0,43.67762806375448,1.0710310779574403
SRR11241381,Asian,533388,1.8748078321971718e-06,1.178847038072306e-06,1197442.0,43.85836558263299,1.0882493358958978
SRR11241380,Asian,452330,2.2107753189043035e-06,1.4148669456462214e-06,960061.0,43.69635366919322,1.080764011010016
SRR11241387,Asian,47993,2.083637197091206e-05,1.8996574179110944e-05,56561.0,43.475539682819566,1.0181598319791247
SRR11241385,Asian,292479,3.4190488889800066e-06,1.496710919004143e-06,998236.0,43.81609058378907,1.0721724690330692
SRR11241378,Asian,284196,3.518698363101463e-06,1.5136217658212777e-06,1066594.0,43.696565891050604,1.0738925563310295
SRR11241382,Asian,579405,1.7259084750735407e-06,1.0978868672823654e-06,1263871.0,43.71239944582886,1.0890416365932876
SRR11241383,Asian,448235,2.230972592501667e-06,1.4073502484905515e-06,1034589.0,43.74681830175974,1.0820241589741608
SRR11241384,Asian,530276,1.885810408164776e-06,1.1617222743167689e-06,1331447.0,43.89581184981385,1.0900666444655491
SRR5812655,European,10805,9.254974548819274e-05,1.7177929528894013e-05,1390668.0,43.357021230081685,1.0291456329174207
SRR5812616,European,44766,2.233838180762089e-05,1.1614872222721452e-05,2698667.0,45.12904445046193,1.0618373301074504
SRR5812677,European,605204,1.6523354108696948e-06,8.49147394178955e-07,4910290.0,43.366695449758836,1.0936795785783344
SRR5812669,European,848849,1.1780658279623203e-06,5.442118425223239e-07,5647496.0,43.411836856546145,1.1166817732745908
SRR5812634,European,14718,6.794401413234833e-05,3.293073979601843e-05,1575045.0,44.91663222320197,1.0275062831611281
SRR5812611,European,54219,1.8443718991497022e-05,4.320606730941849e-06,9557176.0,42.947990703529015,1.0275171982489055
SRR5812652,European,567179,1.7631118218410621e-06,1.0413821361648958e-06,11964956.0,42.73381899607452,1.0934793673316727
SRR5812633,European,857,0.0011668611435239004,7.963551702954242e-05,1087008.0,41.422265521504144,1.0070505287896592
SRR5812670,European,47379,2.1106397349035864e-05,1.0025411033767455e-05,1022443.0,42.52580535051709,1.0369892096565914
SRR5812680,European,185838,5.381030790258148e-06,2.0637195336242195e-06,7214536.0,43.17617723440538,1.0379633715182557
SRR5812624,European,146910,6.8068885712339955e-06,2.3205974494786382e-06,6262584.0,42.67935775392337,1.0616571998439057
SRR5812667,European,240502,4.157969580294489e-06,1.1814612277993307e-06,2815432.0,43.5889483390109,1.068684040969584
SRR5812679,European,244062,4.097319533561083e-06,1.5999755028185817e-06,3183898.0,42.9383680004818,1.0577268117637881
SRR5812618,European,72198,1.3850799191112317e-05,3.9041303387203305e-06,2629835.0,42.9206349447748,1.0369402234797347
SRR5812645,European,141112,7.086569533420184e-06,4.220940675819844e-06,1228465.0,42.90494397479735,1.0633991213196783
SRR5812660,European,25060,3.990422984836307e-05,1.415097775878005e-05,475405.0,42.931273335365766,1.0153148043108338
SRR5812623,European,137051,7.296553837622382e-06,3.0485545451142847e-06,6552177.0,43.64712583313847,1.0463266225388028
SRR5812687,European,48486,2.0624510167882706e-05,1.0733753560755886e-05,2961306.0,44.14464226256758,1.0594096182839163
SRR5812642,European,189111,5.287899699118429e-06,1.3490603125083544e-06,6153900.0,42.20017354848082,1.0634788525668784
SRR5812613,European,320182,3.123223666539601e-06,1.606223715852491e-06,2099128.0,43.23579029006254,1.0870356412920223
SRR5812631,European,17692,5.652272213429337e-05,3.974081862366669e-05,1514404.0,44.63737681622246,1.0251477575617105
SRR5812650,European,512155,1.9525339008698153e-06,4.5544418849526245e-07,4451167.0,43.629502105851365,1.0887949709494522
SRR5812672,European,340659,2.9354868064544894e-06,1.5565045396484466e-06,2223378.0,42.22902628342914,1.0623947457056249
SRR5812649,European,32966,3.0334283807557416e-05,6.567882442025651e-06,6875886.0,43.02861711203208,1.0217896661810744
SRR5812657,European,28207,3.5452192718118826e-05,1.4787104045765262e-05,399113.0,44.90649264744476,1.0172015867291742
SRR5812614,European,361754,2.7643094478567887e-06,1.1737647589301645e-06,4510292.0,42.9059171778672,1.0686498382641834
SRR5812675,European,97760,1.022913256955783e-05,2.6566085442969034e-06,2489274.0,43.26501502044252,1.0414181012442474
SRR5812628,European,270866,3.6918623969047148e-06,2.4403790046258117e-06,942365.0,42.26417789285436,1.062127973272894
SRR5812636,European,259248,3.857310374621945e-06,1.7446291360868459e-06,7662069.0,42.58648140600101,1.0749328291372275
SRR5812685,European,6204,0.0001611863313990897,4.870261619716199e-05,760255.0,44.096374242850615,1.0197238658777121
SRR5812662,European,140559,7.114450159719275e-06,3.873294412241468e-06,2275483.0,43.74329186374857,1.0421118187412421
SRR5812621,European,269684,3.7080434879339976e-06,1.5476004123925128e-06,7516366.0,42.91976455111387,1.071718387995406
SRR5812640,European,28108,3.5577059911766874e-05,1.835917784378818e-05,1797726.0,44.73455298526886,1.0415385185459667
SRR5812638,European,109239,9.154239786156872e-06,3.216030788011671e-06,5544675.0,42.931652260952674,1.0460299525049792
SRR5812626,European,405392,2.4667482338082282e-06,1.4262257243862753e-06,2003387.0,43.18943119826507,1.0922650802375333
SRR5812682,European,365197,2.73824812361543e-06,1.1945149124114063e-06,6627352.0,43.111709774883764,1.0782728596019333
SRR5812665,European,171800,5.820721769499038e-06,1.207509373295074e-06,2575751.0,43.0716039710332,1.0516006610760849
SRR5812659,European,39509,2.5310688703839373e-05,7.646463424322662e-06,415788.0,43.01303548923927,1.0234431665112425
SRR5812647,European,9136,0.00010945709281960165,2.995814158211634e-05,1352934.0,44.028764152569806,1.0229537565782107
SRR5812684,European,94725,1.0556875164951103e-05,1.278932213824953e-06,2116001.0,42.80741077154471,1.0334162466452839
SRR5812641,European,25593,3.9073184073769157e-05,1.4928227039119748e-05,379461.0,44.63123219513884,1.0154340580860182
SRR5812639,European,7631,0.00013104442405974855,4.1048168992432174e-05,1230079.0,44.128153557614446,1.020733012306046
SRR5812620,European,146576,6.822399301386173e-06,1.603969359504979e-06,2126314.0,42.40516076176807,1.0533441607439293
SRR5812627,European,33968,2.943947244465292e-05,1.673488181440763e-06,2000642.0,43.472447844240705,1.0265647193931517
SRR5812683,European,116680,8.570449091532272e-06,3.467279686367844e-06,4354382.0,41.93487939275821,1.0476695010370742
SRR5812664,European,211949,4.7181161505832585e-06,1.5759422181001198e-06,4566458.0,42.94058458437463,1.0738881063607713
SRR5812658,European,34909,2.8645907932051398e-05,1.0048097481242907e-05,334031.0,45.443279216598896,1.0201046141258292
SRR5812646,European,33411,2.993026248839856e-05,9.294951565467077e-06,2583389.0,44.40823081618245,1.045629518355084
SRR5812612,European,18075,5.532503457814547e-05,2.1102764040097397e-05,360999.0,42.98371740641854,1.0122080976647814
SRR5812651,European,981080,1.0192848697353874e-06,6.408833084418326e-07,6808627.0,42.39332966837488,1.126327862114729
SRR5812630,European,11225,8.908685968818654e-05,5.540486284880155e-05,580756.0,44.38607608013918,1.041183563676839
SRR5812673,European,41259,2.423713613999275e-05,6.983600112296853e-06,3209432.0,43.221326702044045,1.0186401343077227
SRR5812648,European,148070,6.753562504220914e-06,2.6291055620137986e-06,7386350.0,42.82811131343588,1.0548850861319692
SRR5812656,European,148761,6.722191972357901e-06,1.2753035786397815e-06,7008616.0,42.729089024135476,1.0571343296309719
SRR5812615,European,8260,0.00012106537530265134,3.0960453163881184e-05,466088.0,44.78571214019225,1.0276188106494153
SRR5812674,European,164766,6.069213308570856e-06,2.1123938970213927e-06,2903305.0,43.16857236838646,1.0619787302610377
SRR5812629,European,260868,3.833356333471287e-06,2.005219851479044e-06,4956078.0,43.39359025422872,1.0688770702046235
SRR5812637,European,75547,1.3236792989794142e-05,5.312734038442869e-06,8430204.0,42.81565475758263,1.0357559056197645
SRR5812681,European,237432,4.211732201219647e-06,1.6264220263095116e-06,4920348.0,44.071174640492174,1.0685316195928065
SRR5812625,European,267753,3.734785417903792e-06,1.89286447827858e-06,2374554.0,42.15835858017945,1.0563832053720084
SRR5812666,European,162422,6.156801418526717e-06,8.450562926038448e-07,2608552.0,43.85599021985911,1.034607520272121
SRR5812678,European,496594,2.0137174432232043e-06,1.2278360328371826e-06,2080170.0,43.24981083276779,1.086845854681307
SRR5812619,European,433122,2.3088183006173563e-06,1.1513773320119646e-06,2470750.0,42.996164727309115,1.0725673446948873
SRR5812644,European,200931,4.976832843115189e-06,1.9649846287335614e-06,5738960.0,42.98991402623379,1.0643151878552246
SRR5812661,European,101605,9.842035332906656e-06,3.820074984685773e-06,3747908.0,42.838588087006656,1.047161158004308
SRR5812622,European,381332,2.622386791562167e-06,1.6444715517887549e-06,2258077.0,42.94397356688831,1.085318267848757
SRR5812686,European,263870,3.7897449501647713e-06,1.3828267332772438e-06,6598760.0,43.09393931587053,1.0670942538590014
SRR5812643,European,47066,2.1246759869117792e-05,3.6371873782156413e-06,20264228.0,44.19553278811851,1.0500647003703538
SRR5812654,European,242548,4.122895261968684e-06,1.7717081510314924e-06,5273820.0,42.84041757208163,1.0628606985885374
SRR5812617,European,41186,2.42800951779719e-05,3.0769607459036733e-06,2389801.0,42.64013112388645,1.036751749483965
SRR5812676,European,120410,8.304958059961296e-06,2.0668522379109093e-06,1643155.0,43.063966576492035,1.041500882261357
SRR5812668,European,498329,2.006706412831659e-06,1.2262584670312564e-06,2822528.0,43.31062721078358,1.084793100220516
SRR5812635,European,220688,4.531283984629735e-06,1.710313220577278e-06,2408474.0,43.408534615692986,1.071056603590443
SRR5812610,European,38660,2.586652871184588e-05,7.53535023263001e-06,7342189.0,42.61569662671284,1.027126119184888
SRR5812653,European,38912,2.569901315789383e-05,1.1341364763034293e-06,6014312.0,43.33818747680379,1.0236228757826065
SRR5812632,European,178825,5.592059275828268e-06,2.634834090759859e-06,2010201.0,43.15246037585253,1.0586497590546893
